pubid,prwp_id,date,author,title,year,journal,number,cid,cites,cites1996,cites1997,cites1998,cites1999,cites2000,cites2001,cites2002,cites2003,cites2004,cites2005,cites2006,cites2007,cites2008,cites2009,cites2010,cites2011,cites2012,cites2013,cites2014,cites2015,cites2016,cites2017,cites2018,cites2019,cites2020,cites2021,cites2022
LXmCCkuhhTsC,8123,2017-06-01,Aart Kraay; Roy Van der Weide,Approximating Income Distribution Dynamics Using Aggregate Data,2017,World Bank Policy Research Working Paper,"",4187136736865922265,3,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
unp9ATQDT5gC,2196,1999-10-01,Daniel Kaufmann; Aart Kraay; Pablo Zoido-Lobatón,Governance Matters,1999,Policy Research Working Paper,2196,8559985759974592455,5,,,,,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,,,,,,
dBIO0h50nwkC,7276,2015-05-01,Nona Karalashvili ; Aart Kraay ; Peter Murrell,Doing the Survey Two-Step: The Effects of Reticence on Estimates of Corruption in Two-Stage Survey Questions,2015,"Institutions, Governance and the Control of Corruption",335-387,12013403909602918171,8,,,,,,,,,,,,,,,,,,,,,,1,2,1,1,2,
NxmKEeNBbOMC,2772,2002-02-01,Daniel Kaufmann; Aart Kraay; Pablo Zoido-Lobatón,Governance Matters II: Updated Indicators for 2000–01,2002,Policy Research Working Paper,277,1248261416781665949,9,,,,,,1,0,0,0,4,1,1,1,1,,,,,,,,,,,,,
_Qo2XoVZTnwC,1560,1995-12-01,Aart Kraay; Jaume Ventura,Trade and Fluctuations,1995,"World Bank, Policy Research Department, Macroeconomics and Growth Division","",1883818301623718764,13,1,1,2,2,1,0,0,0,0,1,0,0,0,2,1,0,1,0,0,1,,,,,,,
ns9cj8rnVeAC,4328,2007-08-01,Carolin Geginat ; Aart Kraay,Does IDA Engage in Defensive Lending?,2007,World Bank Policy Research Working Paper,"","3947609691294001186,17885939334264571642",14,,,,,,,,,,,,,1,1,1,2,0,3,1,1,2,2,,,,,
BUYA1_V_uYcC,6501,2013-06-01,Alexandra Jarotschkin; Aart Kraay;,"Aid, Disbursement Delays, and the Real Exchange Rate",2013,IMF Economic Review,"64 (2), 217-238",4068656048463255721,16,,,,,,,,,,,,,,,,,,,,2,1,3,2,0,1,4,1
iH-uZ7U-co4C,2224,1999-11-01,Aart Kraay; George Monokroussos,Growth Forecasts Using Time Series and Growth Models,1999,Available at SSRN,623982,"1783658873414314192,7155665858127189862",17,,,,,1,0,1,0,1,1,0,2,2,0,1,1,1,0,1,0,0,2,0,2,0,1,
VL0QpB8kHFEC,6218,2012-10-01,Maya Eden; Aart Kraay; Rong Qian,Sovereign Defaults and Expropriations:  Empirical Regularities,2012,World Bank Policy Research Working Paper,"",12805463916952223725,18,,,,,,,,,,,,,,,,,2,3,4,2,0,2,4,0,0,1,
wvYxNZNCP7wC,8075,2017-05-01,Bledi Celiku ; Aart Kraay,Predicting Conflict,2017,World Bank Policy Research Working Paper,"",16333504540209711611,21,,,,,,,,,,,,,,,,,,,,,,2,4,5,6,3,1
9pM33mqn1YgC,7001,2014-08-01,Patricia Geli; Aart Kraay; Hoveida Nobakht,Predicting World Bank Project Outcome Ratings,2014,World Bank Policy Research Working Paper,"",1364676675968765675,22,,,,,,,,,,,,,,,,,,,1,3,4,2,3,4,3,1,
35N4QoGY0k4C,4182,2007-04-01,Aart Kraay,"The Welfare Effects of a Large Depreciation: The Case of Egypt, 2000-05",2007,The Egyptian Economy: Current Challenges and Future Prospects,101-30,14392182799088689715,25,,,,,,,,,,,,,,,,2,4,2,4,1,1,3,1,5,0,2,
f2IySw72cVMC,5415,2010-09-01,Bianca Clausen ; Aart Kraay ; Peter Murrell,Does Respondent Reticence Affect the Results of Corruption Surveys? Evidence from the World Bank Enterprise Survey for Nigeria,2010,International handbook on the economics of corruption,"2, 428-50",12355318092784637416,39,,,,,,,,,,,,,,,1,3,5,4,2,4,2,6,3,3,1,4,1
ldfaerwXgEUC,5254,2010-03-01,Aart Kraay ; Norikazu Tawara,Can Disaggregated Indicators Identify Governance Reform Priorities?,2010,World Bank Policy Research Working Paper,"","14554798299204773459,4399629448200648870,2125401529994284044",53,,,,,,,,,,,,,,,,2,2,3,2,1,4,25,3,6,3,1,1
9ZlFYXVOiuMC,3801,2005-12-01,David Dollar; Aart Kraay,Neither a Borrower Nor a Lender: Does China’s Zero Net Foreign Asset Position Make Economic Sense?,2005,Journal of Monetary Economics,"53 (5), 943-971","9652846375534975219,11663499357134148221,13299843627458764455",61,,,,,,,,,,,3,9,4,6,7,5,7,3,8,1,2,2,2,0,0,1,
aqlVkmm33-oC,2759,2002-01-01,Aart Kraay; Isidro Soloaga; James Tybout,"Product Quality, Productive  Efficiency, and International  Technology Diffusion: Evidence from Plant-Level Panel Data",2002,World Bank Publications,"",4149390052518497442,64,,,,,,2,0,2,1,2,5,5,5,8,8,4,4,4,4,0,0,1,1,1,3,4,
uc_IGeMz5qoC,6488,2013-06-01,Aart Kraay ; Peter Murrell;,Misunderestimating Corruption,2013,Review of Economics and Statistics,"98 (3), 455-466",11470564385546223695,66,,,,,,,,,,,,,,,,,,1,5,10,10,11,10,4,6,8,
Dip1O2bNi0gC,6781,2014-02-01,Maya Eden; Aart Kraay,“Crowding in” and the Returns to Government Investment in Low-Income Countries,2014,"World Bank, Washington, DC","",17390976438765879890,67,,,,,,,,,,,,,,,,,,1,4,11,14,9,3,4,14,6,
qUcmZB5y_30C,4000,2006-08-01,Nicolas Depetris Chauvin; Aart Kraay,Who Gets Debt Relief?,2006,Journal of the European Economic Association,"5 (2‐3), 333-342","1536549807577213619,11566263962459995698,13299843627458764455",75,,,,,,,,,,1,1,9,7,6,8,3,2,7,0,7,5,6,2,6,3,1,
yFnVuubrUp4C,6842,2014-04-01,David Dollar; Tatjana Kleineberg; Aart Kraay,"Growth, Inequality, and Social Welfare:  Cross-Country Evidence",2014,Economic Policy,"30 (82), 335-377","7784646048703148761,11888773117130237074",89,,,,,,,,,,,,,,,,,,1,5,9,16,11,9,10,11,15,1
k_IJM867U9cC,4632,2008-05-01,Aart Kraay,Instrumental Variables Regressions  with Honestly Uncertain Exclusion Restrictions,2008,Journal of Applied Econometrics,"","12440626281505606649,8407035132629578337",90,,,,,,,,,,,,,1,4,3,5,7,12,6,10,10,2,9,5,8,5,1
Wp0gIr-vW9MC,3672,2005-08-01,Aart Kraay; Jaume Ventura,"The Dot-Com Bubble, the Bush Deficits, and the U.S. Current Account",2005,G,"G7 Current Account Imbalances: Sustainability and Adjustment, 457-496","13813404563135357712,8812343298929037828",136,,,,,,,,,,1,7,5,5,14,14,10,5,14,12,6,7,2,9,6,10,5,
KlAtU1dfN6UC,1948,1998-07-01,Aart Kraay; Jaume Ventura,Comparative Advantage and the Cross-Section of Business Cycles,1998,National Bureau of Economic Research,"","5783794368398762421,7779908976333813773",176,,,,,2,2,9,12,9,9,6,11,7,14,12,11,12,11,14,6,3,5,3,7,3,4,1
uDGL6kOW6j0C,5500,2010-12-01,Aart Kraay;,How Large Is the Government Spending Multiplier? Evidence from World Bank Lending,2010,The Quarterly Journal of Economics,"127 (2), 829-887",4905783869937601303,200,,,,,,,,,,,,,,,,2,5,20,18,22,20,14,23,17,23,31,1
SeFeTyx0c_EC,5646,2011-05-01,Cevdet Denizer ; Daniel Kaufmann ; Aart Kraay,Good Countries or Good Projects? Macro and Micro Correlates of World Bank Project Performance,2011,Journal of Development Economics,"105, 288-302","5053676206129731128,13532509147169368972",222,,,,,,,,,,,,,,,,,9,15,16,27,33,26,22,25,17,26,4
2P1L_qKh6hAC,5157,2009-12-01,Bianca Clausen; Aart Kraay ; Zsolt Nyiri,Corruption and Confidence in Public Institutions: Evidence from a Global Survey,2009,The World Bank Economic Review,"25 (2), 212","14027537176422835165,16590722373882842774,8346675118748831781",239,,,,,,,,,,,,,,,5,5,8,17,22,22,30,25,24,26,29,23,3
Se3iqnhoufwC,1825,1997-09-01,Aart Kraay; Jaume Ventura,Current Accounts in Debtor and  Creditor Countries,1997,The Quarterly Journal of Economics,"115 (4), 1137-1166",10271719746996689518,288,,,,2,9,7,6,12,10,16,5,18,20,20,17,16,16,20,11,10,8,11,9,19,11,8,1
ubry08Y2EpUC,3320,2004-06-01,Aart Kraay; Norman Loayza; Luis Servén; Jaume Ventura,Country Portfolios,2004,Journal of the European Economic Association,"3 (4), 914-945","10599418408557828154,5370128330964952457",292,,,,,5,12,13,20,13,21,14,18,21,16,22,13,21,19,8,10,9,11,9,6,5,4,
bz8QjSJIRt4C,6835,2014-04-01,Aart Kraay ; David McKenzie,Do Poverty Traps Exist?,2014,Journal of Economic Perspectives,"28 (3), 127-48","14588224062606976855,18173812050256787046",306,,,,,,,,,,,,,,,,,,1,9,30,43,42,49,37,47,42,3
0EnyYjriUFMC,3631,2005-06-01,Aart Kraay; Claudio Raddatz,"Poverty Traps, Aid, and Growth",2005,Journal of Development Economics,"82 (2), 315-347",14489749821510553618,315,,,,,,,,,,,23,27,20,19,22,19,38,23,20,15,14,15,17,8,10,13,1
hqOjcs7Dif8C,3200,2004-02-01,Aart Kraay; Vikram Nehru,When is External Debt Sustainable?,2004,The World Bank Economic Review,"20 (3), 341-365",13091196512342431394,346,,,,,,,,,,17,20,22,27,20,20,20,16,18,22,35,16,22,17,14,18,13,
7H_MAutzIkAC,6568,2013-08-01,David Dollar ; Tatjana Kleineberg ; Aart Kraay,Growth Still Is Good for the Poor,2013,European Economic Review,"81, 68-85",2520772057636094820,458,,,,,,,,,,,,,,,,2,1,11,36,46,49,43,51,56,68,74,6
W7OEmFMy1HYC,2139,1999-06-01,William Easterly; Aart Kraay,"Small States, Small Problems?",1999,World development,"28 (11), 2013-2027","2622413364344077644,5745382480751597978,7423535077717548097",970,,,,,7,16,27,38,46,37,30,40,56,48,53,58,46,49,47,65,66,49,48,44,40,44,2
WF5omc3nYNoC,3225,2004-03-01,Aart Kraay,When is Growth Pro-Poor? Cross-Country Evidence,2004,Journal of development economics,"80 (1), 198-227","3821181050582768991,6143481261519185691,15870112160953921200,1796854026594179131",1158,,,,,,,,3,16,44,66,59,62,72,55,66,67,74,67,80,79,63,72,71,50,63,8
UeHWp8X0CEIC,3004,2003-03-01,David Dollar; Aart Kraay,"Institutions, Trade, and Growth: Revisiting the Evidence",2003,Journal of monetary economics,"50 (1), 133-162","1829889923049851990,2697191190035701330,2575234967498787208",1802,,,,,,,,26,47,75,64,78,86,85,97,101,100,95,85,127,108,132,116,121,103,112,7
WHdLCjDvYFkC,3630,2005-06-01,Daniel Kaufmann; Aart Kraay; Massimo Mastruzzi,Governance Matters IV: Governance Indicators for 1996–2004,2005,World bank policy research working paper series,"","17923333714974699725,1681473484641888906,15056058978732553939,18197954802392005463,4665941506071019726",2067,,,,,,,,,8,98,253,259,213,165,144,115,112,97,91,105,88,58,57,57,47,60,9
u5HHmVD_uO8C,3106,2003-08-01,Daniel Kaufmann; Aart Kraay; Massimo Mastruzzi,Governance Matters III: Governance Indicators for 1996–2002,2003,The World Bank Economic Review,"18 (2), 253-287","8153282251373921411,16899974657452540961,5514198220677156183,5854949189788341463,18279477449496881964,9939330340729109493,15876592999126636456,9885631619456424973,12623886182989417705,3337275360320625151,12297462868290794867",3175,,,,,,,,35,206,317,326,273,272,186,180,173,139,131,136,123,119,121,112,98,80,94,3
JWITY9-sCbMC,4654,2008-06-01,Daniel Kaufmann; Aart Kraay; Massimo Mastruzzi,Governance Matters VII: Aggregate and Individual Governance Indicators 1996-2007,2008,World bank policy research working paper,4280,"14731164891563342712,14664085445690334648,4842788660217456879",556,,,,,,2,9,9,22,18,27,24,34,37,38,42,47,47,36,22,32,22,23,17,22,14,4
4Yq6kJLCcecC,2195,1999-10-01,Daniel Kaufmann; Aart Kraay; Pablo Zoido-Lobatón,Aggregating Governance Indicators,1999,"Washington, DC: World Bank","","14009834905042147269,1328067973761329058,6191905118060775957,9129747542274863971,8516551454177021336",2165,,,,6,38,63,92,132,120,140,111,110,113,92,103,93,110,80,95,108,99,97,82,81,80,80,8
9NZAP19TdFAC,4370,2007-10-01,Daniel Kaufmann; Aart Kraay,"Governance Indicators: Where Are We, Where Should We Be Going?",2007,The World Bank Research Observer,"23 (1), 1-30","8451875912515499949,13850680127640104809",816,,,,,,,,,,,,5,25,46,59,75,59,73,60,60,58,37,69,49,60,53,4
In6cVmBjs0IC,6099,2012-06-01,Aart Kraay;,Government Spending Multipliers in Developing Countries: Evidence from Lending by Official Creditors,2012,American Economic Journal: Macroeconomics,"6 (4), 170-208","14727343207706822120,15411493130408943146",116,,,,,,,,,,,,,,,,,,6,10,10,13,13,7,13,17,23,1
7H_jS4BsgvYC,5430,2010-09-01,Daniel Kaufmann ; Aart Kraay; Massimo Mastruzzi,The Worldwide Governance Indicators: Methodology and Analytical Issues,2010,Hague journal on the rule of law,"3 (2), 220-246","13342467522915872976,4681795479474598090,12651365322499000952,8106743371637794307,5113852506944214138,7052330011101437953,14257787395335507104",7246,,,,,,,,,,,,,,,24,155,338,401,520,592,717,717,770,808,902,1040,97
W2uZP3ddy8sC,2615,2001-06-01,David Dollar; Aart Kraay,"Trade, Growth, and Poverty",2001,The economic journal,"114 (493), F22-F49","1489289392382093345,12006492288748047409,9808171976139066990",3495,,,,,,45,104,149,167,165,169,217,209,145,159,172,184,174,141,192,171,179,166,180,162,172,9
tz746QTLzJkC,2267,2000-01-01,Aart Kraay,Do High Interest Rates Defend Currencies during Speculative Attacks?,2000,Journal of International Economics,"59 (2), 297-321","9244063585427745895,16427400385010640185",320,,,1,12,25,19,21,23,19,17,15,15,14,19,15,7,12,12,14,15,6,8,3,9,6,9,
FsLZdJ3BAzkC,2587,2001-04-01,David Dollar ; Aart Kraay,Growth is Good for  the Poor,2001,Journal of economic growth,"7 (3), 195-225","904294879675485126,11595115874346590589,2062380952888026054,17548877224475132875,4888165969945221972,3394717393286727880",6301,,,,,61,172,212,279,321,346,304,331,301,330,305,280,293,295,297,321,304,324,266,278,256,279,24
L24QuVWYgZ0C,2928,2002-11-01,Daniel Kaufmann; Aart Kraay,Growth without Governance,2002,Economia,"3 (1), 169-229","12644590232122123894,9396478791634809127,9769327709400953604,14713718246530711385",1338,,,,,,,,39,56,86,84,66,62,57,52,74,61,64,75,85,69,74,82,69,65,82,9
OzeSX8-yOCQC,7245,2015-04-01,David Bulman ; Walter Kolkma ; Aart Kraay ;,Good Countries or Good Projects? Comparing Macro and Micro Correlates of World Bank and Asian Development Bank Project Performance,2015,Comparing Macro and Micro Correlates of World Bank and Asian Development …,"","8544621173886108365,14738222910520754965",39,,,,,,,,,,,,,,,,,,,,2,3,2,5,5,7,15,
naSTrk-c4S8C,9020,2019-09-01,Ritika D’Souza; Roberta Gatti; Aart Kraay;,A Socioeconomic Disaggregation of the  World Bank Human Capital Index,2019,World Bank Policy Research Working Paper,"",15466545026364036474,11,,,,,,,,,,,,,,,,,,,,,,,,,4,7,
zUl2_INMlC4C,4012,2006-09-01,Daniel Kaufmann; Aart Kraay; Massimo Mastruzzi,Governance Matters V: Aggregate and Individual Governance  Indicators for 1996-2005,2006,World Bank Publications,"","6991278903294106186,11803611632926821412",1235,,,,,,,,,,,18,176,177,158,110,100,81,51,67,52,55,28,35,36,26,36,2
jtI9f0ekYq0C,4280,2007-07-01,Daniel Kaufmann; Aart Kraay; Massimo Mastruzzi,"Governance Matters VI: Aggregate and Individual Governance Indicators, 1996-2006",2007,Available at SSRN,999979,"18255783906615163739,6681190941429185238,8875066509168398144,2604392788651691054,6996756439725616829,15745898983174202177",1491,,,,,,,,,,,5,57,208,213,154,135,103,101,84,81,74,60,66,50,37,34,5
4e5Qn2KL_jwC,4978,2009-06-01,Daniel Kaufmann ; Aart Kraay ; Massimo Mastruzzi,Governance Matters VIII: Aggregate and Individual Governance Indicators  1996-2008,2009,World bank policy research working paper,"","376990592097330102,8828579553229029691,7946170124602207034",4642,,,,,,,,,,,,,48,239,444,519,468,462,402,326,356,296,266,245,242,244,23
,8593,2018-09-01,Aart Kraay,Methodology for a World Bank Human Capital Index,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nPT8s1NX_-sC,9412,2020-09-01,Bo Pieter Johannes Andree; Andres Chamorro; Aart Kraay; Phoebe Spencer; Dieter Wang,Predicting Food Crises,2020,"World Bank, Washington, DC","",6892100419671838143,13,,,,,,,,,,,,,,,,,,,,,,,,,1,10,1
,1553,1995-12-01,John Driscoll; Aart Kraay,Spatial Correlations in Panel Data,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s9ia6_kGH2AC,4149,2007-03-01,Daniel Kaufmann; Aart Kraay; Massimo Mastruzzi,The Worldwide Governance Indicators Project: Answering the Critics,2007,"","",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2vr6o8x5NLkC,9133,2020-01-01,Erhan Artuc; Robert Cull; Susmita Dasgupta; Roberto Fattal; Deon Filmer; Xavier Giné; Hanan Jacoby; Dean Jolliffe; Hiau Looi Kee; Leora Klapper; Aart Kraay; Norman Loayza; David McKenzie; Berk Özler; Vijayendra Rao; Bob Rijkers; Sergio Schmukler; Michael Toman; Adam Wagstaff; and Michael Woolcock,Toward Successful Development Policies: Insights from Research in Development Economics,2020,"","",18055979548808034366,9,,,,,,,,,,,,,,,,,,,,,,,,,2,6,1
c_xDhezhKKUC,7494,2015-11-01,Aart Kraay ;,Weak Instruments in Growth Regressions:  Implications for Recent Cross-Country Evidence on Inequality and Growth,2015,World Bank Policy Research Working Paper,"",10214101649066234332,72,,,,,,,,,,,,,,,,,,,,1,6,9,12,7,10,22,4
