pubid,prwp_id,date,author_1,year_1,title,title_2,author_2,journal,number,cites,year_2,cid,tier,score,author,year
-f6ydRqryjwC,3970,2006-07-01,Xavier Giné; Inessa Love,2006,Do Reorganization Costs Matter for Efficiency? Evidence from a Bankruptcy Reform in Colombia,Do reorganization costs matter for efficiency? Evidence from a bankruptcy reform in Colombia,"X Gine, I Love",The Journal of Law and Economics,"53 (4), 833-864",62,2010,"4952317673161191718,12229245651646798972,840932325608114515",all,0.9347826086956522,Xavier Giné; Inessa Love,2006
0EnyYjriUFMC,3734,2005-10-01,Xavier Giné,2005,Cultivate or Rent Out? Land Security in Rural Thailand,Cultivate or rent out? Land security in rural Thailand,X Giné,Land Security in Rural Thailand (October,2005). World Bank Policy Research …,48,2005,"8340143096667082629,9872002995522967829,9450794996659876668",all,0.9259259259259259,Xavier Giné,2005
4fGpz3EwCPoC,8270,2017-12-01,Xavier Giné; Ghazala Mansuri; Slesh A. Shrestha,2017,Mission and the Bottom Line Performance Incentives in a Multi-Goal Organization,Mission and the Bottom Line: Performance Incentives in a Multigoal Organization,"X Giné, G Mansuri, SA Shrestha",The Review of Economics and Statistics,1-45,11,2020,"1922159249712266602,10904404532553171352",all,0.9620253164556962,Xavier Giné; Ghazala Mansuri; Slesh A. Shrestha,2017
5MTHONV0fEkC,4824,2009-01-01,Adeline Delavande; Xavier Giné; David McKenzie,2009,Measuring Subjective Expectations in Developing Countries: A Critical Review and New Evidence,Measuring Subjective Expectations in Developing Countries,"A Delavande, X Gine, D McKenzie","","",3,2009,11451670491740037594,all,0.6129032258064516,Adeline Delavande; Xavier Giné; David McKenzie,2009
5nxA0vEk-isC,3665,2005-07-01,Xavier Giné; Stefan Klonner,2005,Credit Constraints as a Barrier to Technology Adoption by the Poor: Lessons from South Indian Small- Scale Fishery,Credit constraints as a barrier to technology adoption by the poor: Lessons from South Indian small-scale fisheries,"X Gine, S Klonner",Globalization and the Poor in Asia,221-249,60,2008,5256749441597107260,all,0.8956521739130435,Xavier Giné; Stefan Klonner,2005
7BrZ7Jt4UNcC,7820,2016-09-01,Xavier Giné; Monica Martinez-Bravo; Marian Vidal-Fernández,2016,Are Labor Supply Decisions Consistent with Neoclassical Preferences? Evidence from Indian Boat Owners,Are labor supply decisions consistent with neoclassical preferences? Evidence from Indian boat owners,"X Giné, M Martinez-Bravo, M Vidal-Fernández",Journal of Economic Behavior & Organization,"142, 331-347",19,2017,3042543948814094638,all,0.9207920792079208,Xavier Giné; Monica Martinez-Bravo; Marian Vidal-Fernández,2016
7PzlFSSx8tAC,6093,2012-06-01,Xavier Giné; Jessica Goldberg; Dan Silverman; Dean Yang,2012,Revising Commitments: Field Evidence on the Adjustment of Prior Choices,Revising commitments: Field evidence on the adjustment of prior choices,"X Giné, J Goldberg, D Silverman, D Yang",The Economic Journal,"128 (608), 159-188",166,2018,"16407929312336942987,4674284375106847715,12240820520678553565",all,0.9295774647887324,Xavier Giné; Jessica Goldberg; Dan Silverman; Dean Yang,2012
7wO8s98CvbsC,7998,2017-03-01,Xavier Giné; Nídia García; José Gómez-González,2017,Financial Information in Colombia,Financial Information in Colombia,"N Garcia, X Gine, J Gomez-Gonzalez","","",2,2017,16396447760937088905,all,1,Xavier Giné; Nídia García; José Gómez-González,2017
8d8msizDQcsC,5692,2011-06-01,Xavier Giné ; Ghazala Mansuri,2011,Together We Will: Experimental Evidence on Female Voting Behavior in Pakistan,Together we will: experimental evidence on female voting behavior in Pakistan,"X Giné, G Mansuri",American Economic Journal: Applied Economics,"10 (1), 207-35",179,2018,"5802790685687065985,16251022217064113224",all,0.9090909090909091,Xavier Giné ; Ghazala Mansuri,2011
9yKSN-GCB0IC,4008,2006-09-01,Xavier Giné; Dean S. Karlan,2006,Group versus Individual Liability A Field Experiment in the Philippines,Group versus individual liability: A field experiment in the Philippines,"X Gine, DS Karlan",World Bank Publications,"",154,2006,8038495914317965334,all,0.9305555555555556,Xavier Giné; Dean S. Karlan,2006
ALROH1vI_8AC,9367,2020-08-01,Carolina Corral; Xavier Giné; Aprajit Mahajan; Enrique Seira,2020,Autonomy and Specificity in Agricultural Technology Adoption: Evidence from Mexico,Autonomy and Specificity in Agricultural Technology Adoption: Evidence from Mexico,"C Corral, X Giné, A Mahajan, E Seira",National Bureau of Economic Research,"",4,2020,7058802042075111417,all,1,Carolina Corral; Xavier Giné; Aprajit Mahajan; Enrique Seira,2020
ClCfbGk0d_YC,7984,2017-02-01,Robert Cull; Xavier Gine; Sven Harten; Anca Bogdana Rusu,2017,Agent Banking in a Highly Under-Developed Financial Sector: Evidence from the Democratic Republic of Congo,Agent Banking in a Highly Under-Developed Financial Sector: Evidence from the Democratic Republic of Congo,"X Giné, S Harten, AB Rusu, R Cull",World Bank Policy Research Working Paper,"",0,2017,,all,1,Robert Cull; Xavier Gine; Sven Harten; Anca Bogdana Rusu,2017
Ehil0879vHcC,8925,2019-06-01,Xavier Giné; Bernardo Ribeiro; Peter Wrede,2019,"Beyond the S-curve: Insurance Penetration, Institutional Quality and Financial Market Development","Beyond the S-curve: Insurance Penetration, Institutional Quality and Financial Market Development","X Gine, B Barboza Ribeiro, PFW Wrede",World Bank Policy Research Working Paper,"",4,2019,14152109190014399351,all,1,Xavier Giné; Bernardo Ribeiro; Peter Wrede,2019
FPJr55Dyh1AC,7750,2016-07-01,Xavier Giné; Rafael Keenan Mazer;,2016,Financial (Dis-)Information: Evidence from a Multi-Country Audit Study ,Financial information in Colombia,"X Giné, N García Bohórquez, JE Gomez-Gonzalez, N Garcia",World Bank Policy Research Working Paper,"",12,2017,6802466242480826436,all,0.4027777777777778,Xavier Giné; Rafael Keenan Mazer;,2016
LI9QrySNdTsC,8417,2018-04-01,Sinja Buri; Robert Cull; Xavier Giné; Sven Harten; Soren Heitmann,2018,Banking with Agents: Experimental Evidence from Senegal,Banking with Agents: Experimental Evidence from Senegal,"SB IFC, R Cull, X Giné, SH IFC","","",0,2016,,all,1,Sinja Buri; Robert Cull; Xavier Giné; Sven Harten; Soren Heitmann,2018
LkGwnXOMwfcC,5459,2010-10-01,Xavier Giné ; Lev Menand; Robert Townsend; James Vickery,2010,Microinsurance: A Case Study of the Indian Rainfall Index Insurance Market,Microinsurance: a case study of the Indian rainfall index insurance market,"X Giné, L Menand, R Townsend, J Vickery",Handbook of the Indian economy,167-94,121,2012,16918774263124325898,all,0.9054054054054054,Xavier Giné ; Lev Menand; Robert Townsend; James Vickery,2010
MhiOAD_qIWkC,8313,2018-01-01,Xavier Giné; Salma Khalid; Ghazala Mansuri,2018,The Impact of Social Mobilization on Health Service Delivery and Health Outcomes Evidence from Rural Pakistan,The Impact of Social Mobilization on Health Service Delivery and Health Outcomes: Evidence from Rural Pakistan,"X Giné, S Khalid, M Ghazala",Towards Gender Equity in Development,237-25,0,,,all,0.990909090909091,Xavier Giné; Salma Khalid; Ghazala Mansuri,2018
S16KYo8Pm5AC,8576,2018-09-01,Xavier Gine ; Jessica Goldberg,2018,Endowment Effects and Usage of Financial Products: Field Evidence from Malawi,Endowment effects and usage of financial products: Evidence from Malawi,"X Giné, J Goldberg",Working Paper,"",11,2017,"13482963715156480346,17281021146572610173",all,0.8701298701298701,Xavier Gine ; Jessica Goldberg,2018
SP6oXDckpogC,6009,2012-03-01,Francesca de Nicola; Xavier Gine,2012,How Accurate Are Recall Data? Evidence From Coastal India,How accurate are recall data? Evidence from coastal India,"F De Nicola, X Giné",Journal of Development Economics,"106, 52-65",117,2014,"9231672242181903710,16579980661101270188",all,0.8947368421052632,Francesca de Nicola; Xavier Gine,2012
SeFeTyx0c_EC,5504,2010-12-01,Shawn Cole; Xavier Giné; Jeremy Tobacman; Petia Topalova; Robert Townsend; James Vickery,2010,Barriers to Household Risk Management:  Evidence from India,Barriers to Household Risk Management: Evidence from India Online Appendix,"S Cole, X Giné, J Tobacman, P Topalova, R Townsend, MIT Economics, ...","","",0,,,all,0.7702702702702703,Shawn Cole; Xavier Giné; Jeremy Tobacman; Petia Topalova; Robert Townsend; James Vickery,2010
TQgYirikUcIC,6020,2012-04-01,Xavier Giné; Ghazala Mansuri; Mario Picón,2012,Does a Picture Paint a Thousand Words? Evidence from a Microcredit Marketing Experiment,Does a picture paint a thousand words? Evidence from a microcredit marketing experiment,"X Giné, G Mansuri, M Picón",the world bank economic review,"25 (3), 508-542",17,2011,1204013583652001297,all,0.9195402298850575,Xavier Giné; Ghazala Mansuri; Mario Picón,2012
Tyk-4Ss8FVUC,4426,2007-12-01,Xavier Giné; Robert Townsend; James Vickery,2007,Statistical Analysis of Rainfall Insurance Payouts in Southern India,Statistical analysis of rainfall insurance payouts in Southern India,"X Giné, R Townsend, J Vickery",American Journal of Agricultural Economics,"89 (5), 1248-1254",127,2007,1639860895324619497,all,0.9411764705882353,Xavier Giné; Robert Townsend; James Vickery,2007
ULOm3_A8WrAC,6546,2013-07-01,Shawn Cole; Xavier Giné ; James Vickery,2013,How Does Risk Management Influence Production Decisions? Evidence from a Field Experiment,How does risk management influence production decisions? Evidence from a field experiment,"S Cole, X Giné, J Vickery",The Review of Financial Studies,"30 (6), 1935-1970",340,2017,"18206034023691221720,7169940018607303516",all,0.9101123595505618,Shawn Cole; Xavier Giné ; James Vickery,2013
WJVC3Jt7v1AC,5748,2011-08-01,Lasse Brune ; Xavier Giné; Jessica Goldberg; Dean Yang,2011,Commitments to Save: A Field Experiment in Rural Malawi,Commitments to Save,"L Brune, X Giné, J Goldberg, D Yang",A Field Experiment in Rural Malawi. World Bank Policy Research Working Paper …,"",3,2011,13743420951218371856,all,0.34545454545454546,Lasse Brune ; Xavier Giné; Jessica Goldberg; Dean Yang,2011
YohjEiUPhakC,8210,2017-10-01,Xavier Giné; Cristina Martínez Cuellar; Rafael Keenan Mazer,2017,Information Disclosure and Demand Elasticity of Financial Products: Evidence from a Multi-Country Study,Information disclosure and demand elasticity of financial products: Evidence from a multi-country study,"X Giné, CM Cuellar, RK Mazer, CM Cuellar",World Bank Policy Research Working Paper,"",4,2017,1636928271977050879,all,0.9223300970873787,Xavier Giné; Cristina Martínez Cuellar; Rafael Keenan Mazer,2017
_kc_bZDykSQC,5458,2010-10-01,Adeline Delavande; Xavier Giné; David McKenzie,2010,Eliciting Probabilistic Expectations with Visual Aids in Developing Countries: How Sensitive Are Answers to Variations in Elicitation Design?,Eliciting probabilistic expectations with visual aids in developing countries: how sensitive are answers to variations in elicitation design?,"A Delavande, X Giné, D McKenzie",Journal of Applied Econometrics,"26 (3), 479-497",90,2011,9764204577470773902,all,0.9078014184397163,Adeline Delavande; Xavier Giné; David McKenzie,2010
abG-DnoFyZgC,3502,2005-02-01,Xavier Gine,2005,Access to Capital in Rural Thailand: An Estimated Model of Formal versus Informal Credit,Access to capital in rural Thailand: An estimated model of formal vs. informal credit,X Giné,Journal of Development Economics,"96 (1), 16-29",200,2011,"4974919379105650831,11668592803194712770,3339321321470255283",all,0.875,Xavier Gine,2005
bKqednn6t2AC,7109,2014-11-01,Xavier Giné; Martin Kanz,2014,The Economic Effects of a Borrower Bailout: Evidence from an Emerging Market,"The Economic Effects of a Borrower Bailout: Evidence from an Emerging Market (vol 31, pg 1752, 2018)","X Gine, M Kanz",REVIEW OF FINANCIAL STUDIES,"31 (6), 2415-2415",0,2018,,all,0.76,Xavier Giné; Martin Kanz,2014
buQ7SEKw-1sC,4985,2009-07-01,Xavier Giné; Dean Karlan; Jonathan Zinman;,2009,Put Your Money Where Your Butt Is: A Commitment Contract for Smoking Cessation,Put Your Money Where Your Butt Is: A Commitment Savings Account for Smoking Cessation,"X Gine, D Karlan, J Zinman",ACR North American Advances,"",3,2009,16497142631476373335,all,0.8588235294117648,Xavier Giné; Dean Karlan; Jonathan Zinman;,2009
d1gkVwhDpl0C,4408,2007-11-01,Xavier Gine; Robert Townsend ; James Vickery ;,2007,Patterns of Rainfall Insurance Participation in Rural India,Patterns of rainfall insurance participation in rural India,"X Giné, R Townsend, J Vickery",The World Bank Economic Review,"22 (3), 539-566",690,2008,6106277414530185003,all,0.9322033898305084,Xavier Gine; Robert Townsend ; James Vickery ;,2007
edDO8Oi4QzsC,5808,2011-09-01,Jordi de la Torre; Xavier Giné; Tara Vishwanath,2011,After the Microfinance Crisis: Assessing the Role of Government-Led Microcredit Alternatives,After the microfinance crisis: assessing the role of government-led microcredit alternatives,"J De la Torre, X Giné, T Vishwanath","","",0,2011,,all,0.9130434782608696,Jordi de la Torre; Xavier Giné; Tara Vishwanath,2011
f2IySw72cVMC,3959,2006-07-01,Xavier Giné; Pamela Jakiela; Dean Karlan; Jonathan Morduch,2006,Microfinance Games,Microfinance games,"X Giné, P Jakiela, D Karlan, J Morduch",American Economic Journal: Applied Economics,"2 (3), 60-95",362,2010,"1206871799053717281,520896310646473033",all,0.9444444444444444,Xavier Giné; Pamela Jakiela; Dean Karlan; Jonathan Morduch,2006
fFSKOagxvKUC,6902,2014-06-01,Xavier Giné; Cristina Martínez Cuellar; Rafael Keenan Mazer;,2014,Financial (Dis-)Information: Evidence from an Audit Study in Mexico,Financial (dis-) information: evidence from an audit study in Mexico,"X Gine, C Martinez Cuellar, RK Mazer",World Bank Policy Research Working Paper,"",46,2014,"9216958943108998604,884897580645223478",all,0.9117647058823529,Xavier Giné; Cristina Martínez Cuellar; Rafael Keenan Mazer;,2014
nRpfm8aw39MC,9713,2021-06-01,Ram Fishman; Xavier Giné; Hanan G. Jacoby,2021,Efficient Irrigation and Water Conservation: Evidence from South India,Efficient Irrigation and Water Conservation,"R Fishman, X Gine, HG Jacoby","World Bank, Washington, DC","",1,2021,13479868763663368863,all,0.6142857142857143,Ram Fishman; Xavier Giné; Hanan G. Jacoby,2021
roLk4NBRz8UC,4477,2008-01-01,Nava Ashraf; Xavier Giné; Dean Karlan,2008,Finding Missing Markets (and a Disturbing Epilogue): Evidence from an Export Crop Adoption and Marketing Intervention in Kenya,Finding missing markets (and a disturbing epilogue): Evidence from an export crop adoption and marketing intervention in Kenya,"N Ashraf, X Giné, D Karlan",American Journal of Agricultural Economics,"91 (4), 973-990",297,2009,"1409009180433647916,3327232004416503784",all,0.9285714285714286,Nava Ashraf; Xavier Giné; Dean Karlan,2008
ruyezt5ZtCIC,3014,2003-04-01,Xavier Giné; Robert M. Townsend,2003,Evaluation of Financial Liberalization: A General Equilibrium Model with Constrained Occupation Choice,"Evaluation of Financial Liberalization: A General Equilibrium Model with Constrained Occupation ChoiceApril 4, 2003","R Townsend, X Gine","","",0,,,all,0.8869565217391304,Xavier Giné; Robert M. Townsend,2003
tH6gc1N1XXoC,9133,2020-01-01,Erhan Artuc; Robert Cull; Susmita Dasgupta; Roberto Fattal; Deon Filmer; Xavier Giné; Hanan Jacoby; Dean Jolliffe; Hiau Looi Kee; Leora Klapper; Aart Kraay; Norman Loayza; David McKenzie; Berk Özler; Vijayendra Rao; Bob Rijkers; Sergio Schmukler; Michael Toman; Adam Wagstaff; and Michael Woolcock,2020,Toward Successful Development Policies: Insights from Research in Development Economics,Toward Successful Development Policies: Insights from Research in Development Economics,"E Artuç, R Cull, S Dasgupta, R Fattal, D Filmer, X Giné, HG Jacoby, ...","","",9,2020,18055979548808034366,all,1,Erhan Artuc; Robert Cull; Susmita Dasgupta; Roberto Fattal; Deon Filmer; Xavier Giné; Hanan Jacoby; Dean Jolliffe; Hiau Looi Kee; Leora Klapper; Aart Kraay; Norman Loayza; David McKenzie; Berk Özler; Vijayendra Rao; Bob Rijkers; Sergio Schmukler; Michael Toman; Adam Wagstaff; and Michael Woolcock,2020
u-coK7KVo8oC,9013,2019-09-01,Xavier Giné; Shreena Patel; Bernardo Ribeiro; Ildrim Valley,2019,Targeting Inputs: Experimental Evidence from Tanzania,Targeting Inputs: Experimental Evidence from Tanzania,"X Giné, B Barboza Ribeiro, I Valley, S Patel",World Bank Policy Research Working Paper,"",7,2019,3619559803539778962,all,1,Xavier Giné; Shreena Patel; Bernardo Ribeiro; Ildrim Valley,2019
u-x6o8ySG0sC,4425,2007-12-01,Xavier Giné; Dean Yang;,2007,"Insurance, Credit, and Technology Adoption: Field Experimental Evidence from Malawi","Insurance, credit, and technology adoption: Field experimental evidencefrom Malawi","X Giné, D Yang",Journal of development Economics,"89 (1), 1-11",777,2009,2193491132562941167,all,0.927710843373494,Xavier Giné; Dean Yang;,2007
uWQEDVKXjbEC,6959,2014-06-01,Xavier Giné; Ghazala Mansuri,2014,Money or Ideas? A Field Experiment on Constraints to Entrepreneurship in Rural Pakistan,Money or ideas? A field experiment on constraints to entrepreneurship in rural Pakistan,"X Giné, G Mansuri",A Field Experiment on Constraints to Entrepreneurship in Rural Pakistan …,"",199,2014,8904610638286948919,all,0.9310344827586207,Xavier Giné; Ghazala Mansuri,2014
ubry08Y2EpUC,9449,2020-10-01,Richard Chamboko; Robert Cull; Xavier Giné; Soren Heitmann; Fabian Reitzug; Morne Van Der Westhuizen,2020,The Role of Gender in Agent Banking: Evidence from the Democratic Republic of Congo,The role of gender in agent banking: Evidence from the Democratic Republic of Congo,"R Chamboko, R Cull, X Gine, S Heitmann, F Reitzug, ...",World Development,"146, 105551",3,2021,15030878696237957502,all,0.9518072289156626,Richard Chamboko; Robert Cull; Xavier Giné; Soren Heitmann; Fabian Reitzug; Morne Van Der Westhuizen,2020
,5438,2010-10-01,,,Identification Strategy: A Field Experiment on Dynamic Incentives in Rural Credit Markets∗,,,,,,,,,,Xavier Giné; Jessica Goldberg; Dean Yang,2010
,7694,2016-06-01,,,"Markets, Contracts, and Uncertainty in a Groundwater Economy",,,,,,,,,,Xavier Gine; Hanan G. Jacoby,2016
,7807,2016-08-01,,,Savings Defaults and Payment Delays for Cash Transfers: Field Experimental Evidence from Malawi,,,,,,,,,,Lasse Brune; Xavier Giné; Jessica Goldberg; Dean Yang,2016
